strain_id,seed_bank,strain_name_raw,awards_raw,breeder_name_raw,cbd_content_raw,cbd_max_raw,cbd_min_raw,cbd_range_raw,cbn_content_raw,climate_raw,description_raw,difficulty_raw,dominant_type_raw,effects_all_raw,flavors_all_raw,flowering_time_raw,flowering_type_raw,generation_raw,genetics_lineage_raw,height_indoor_raw,height_outdoor_raw,height_raw,indica_percentage_raw,is_hybrid_raw,s3_html_key_raw,sativa_percentage_raw,scraped_at_raw,seed_type_raw,source_url_raw,suitable_environments_raw,terpenes_raw,thc_average_raw,thc_content_raw,thc_max_raw,thc_min_raw,thc_range_raw,total_grow_time_raw,yield_indoor_raw,yield_outdoor_raw,ruderalis_percentage_clean,filial_type_clean,breeding_status_clean,strain_name_normalized,aka_names_clean,similar_spelling_clean,is_autoflower_clean,autoflower_seed_to_harvest_days_min_clean,autoflower_seed_to_harvest_days_max_clean,flowering_time_min_days_clean,flowering_time_max_days_clean,height_indoor_min_cm_clean,height_indoor_max_cm_clean,height_outdoor_min_cm_clean,height_outdoor_max_cm_clean,yield_indoor_min_g_m2_clean,yield_indoor_max_g_m2_clean,yield_outdoor_min_g_plant_clean,yield_outdoor_max_g_plant_clean,dominant_type_clean,seed_type_clean,flowering_type_clean,difficulty_clean
8d631dc2-cd74-4bba-8766-bd0be23e598d,amsterdam,Green Crack Autoflower Seeds,,,,,,,,"Mediterranean, Temperate",Green Crack is a marijuana strain that will turn the laziest person into a powerful battery with its energetic effect and fabulous aroma.,Easy,,energetic,herbs,,,,,,,,20.0,,html/00160a0bef553823.html,80.0,2026-01-14,Sativa,https://amsterdammarijuanaseeds.com/green-crack-autoflower-seeds/,,,,22.0,,,,,,,,,,green crack,,greencrackautoflowerseeds,True,70.0,70.0,,,,,,,,,,,,,,Easy
198f29fa-2d88-4045-9e48-f43c01a6380c,amsterdam,Gipsy King Feminized Seeds,,,,,,,,"Continental, Mediterranean, Temperate, Warm Dry","Prepare to be amazed by Gipsy King, a regal hybrid that combines the legendary genetics ofMOAB (Mother of all Buds)and our most powerful Kush. This carefully bred strain strikes the perfect balance between 60% Indica and 40% Sativa, delivering a versatile experience that caters to both mind and body. Whether youÃ¢ÂÂre seeking creativity, focus, or relaxation, Gipsy King offers a well-rounded high that satisfies seasoned users and novices alike.",Moderate,,energetic,pine,,,,of  MOAB (Mother of all Buds)  and our most powerful Kush,,,,,,html/03e2205750e9e2d5.html,,2026-01-14,Hybrid,https://amsterdammarijuanaseeds.com/gipsy-king-feminized-seeds/,,,,29.0,,,,,,,,,,gipsy king,,gipsykingfeminizedseeds,False,,,,,,,,,,,,,,,,Moderate
15ebe342-0c62-48b7-96ee-df8d2118c1b2,amsterdam,Medijuana Seeds,,,,,,,,"Mediterranean, Temperate, Tropical","Medijuana cannabis seeds are a versatile and easy-to-grow plant that provides high-quality results. Medijuana is a hybrid of Indica and Sativa, making it the perfect choice for those who want the best of both worlds. Its effects are uplifting and euphoric, and can also be used for medicinal purposes. These characteristics make this strain very popular among medical marijuana users.","Easy, Moderate",,energetic,herbs,,,,"and potent effects, itÃ¢ÂÂs sure to give you an enjoyable experience",,,,60.0,,html/049f25a5dcfdc3f2.html,40.0,2026-01-14,Hybrid,https://amsterdammarijuanaseeds.com/medijuana-seeds/,,,,23.0,,,,,,,,,Hybrid,medijuana,,medijuanaseeds,False,,,,,,,,,,,,,,,,
9311b1bf-2fb3-4334-a9a0-f1d7bd11372d,amsterdam,Light Of Jah Feminized Seeds,,,,,,,,"Mediterranean, Tropical, Warm Dry","Our Light of Jah strain a.k.a. Jack herer is a hybrid between Indica and Sativa. Sativa is dominant with 75% against 25% Indica. Do you want to enjoy a fruity high? Light of Jah will be perfect for you. It will give you a cerebral buzz, with your senses enjoying every part.","Expert, Moderate",,relaxed,herbs,,,,"of this strain is a bit mystical, although some people credit it as a cross between Jack Herer and a",,,,25.0,,html/0662ef9cd092f246.html,75.0,2026-01-14,Sativa,https://amsterdammarijuanaseeds.com/light-of-jah-feminized-seeds/,,,,22.0,,,,,,,,,,light of jah,,lightofjahfeminizedseeds,False,,,,,,,,,,,,,,,,
b9dabf79-68f5-430e-b7df-9fc6464f96ae,amsterdam,Cappuccino 420 Feminized,,,,,,,,"Cold, Mediterranean, Warm Dry","The Perfect Blend of Flavor and RelaxationIndulge in the exquisite flavor of Cappuccino 420 weed, packed with the rich taste of freshly roasted coffee beans and a hint of cream. These feminized seeds are not only easy to grow but also produce buds that will leave you craving for more. Discover the perfect strain to unwind with after a long day Ã¢ÂÂ Cappuccino 420.",Easy,,energetic,,,,,between the renowned Black Domina and the potent White Widow XTRM,,,,85.0,,html/06c7e95d39049d0d.html,15.0,2026-01-14,Indica,https://amsterdammarijuanaseeds.com/cappuccino-420-feminized/,,,,20.0,,,,,,,,,Hybrid,cappuccino 420,,cappuccino420feminized,False,,,,,,,,,,,,,,,,Easy
be98d0c4-deb4-4bab-8937-d3ee3c0f66f8,attitude,Archive,,,,,,,,,"Experience the ultimate Zkittlez hybrid from Zwoosh Archive Seedbank Ã¢ÂÂ short-statured, high-yielding, and ready in as little as 7 weeks for up to seven harvests a year.",,,,,,,,Cannabiogen Seeds,,,,,False,html/054f79ec7a5035e4.html,,2026-01-14T10:39:46.904754,,https://www.cannabis-seeds-bank.co.uk/archive-seeds-zwoosh/prod_9996,,,,,,,,,,,,,,,,archive,False,,,,,,,,,,,,,,,,
3d19aede-56bb-47b2-9d6e-00a0c613e7d7,attitude,Grounded Genetics Zwisher,,,,,,,,,High-grade cannabis seeds for sale at the Attitude Seedbank UK. Shop for Zwisher Cannabis Seeds By Grounded Genetics. Secure shopping & fast checkout.,,,,,,,,Zwisher | Attitude Seedbank UK,,,,,False,html/6a252a6eda3d9595.html,,2026-01-14T10:39:47.155404,,https://www.cannabis-seeds-bank.co.uk/grounded-genetics-zwisher/prod_9439,,,,,,,,,,,,,,grounded genetics zwisher,,groundedgeneticszwisher,False,,,,,,,,,,,,,,,,
6a7be7fe-8baa-4d1a-b6f6-a883c096d8e0,attitude,Zurple Punch BX Cannabis Seeds,,In House Genetics,,,,,,,Zurple Punch BX new release for 2018 from In House Genetics - View our latest collection online at the Attitude Seedbank UK website. We're constantly getting new cannabis seeds from the biggest seedbanks.,,,,,,,,The World's Largest Cannabis Seed Superstore,,,,,False,html/f67e846d468808a9.html,,2026-01-14T10:39:47.360065,,https://www.cannabis-seeds-bank.co.uk/in-house-genetics-zurple-punch-BX/prod_5492,,,,,,,,,,,,,,zurple punch bx,,zurplepunchbxcannabisseeds,False,,,,,,,,,,,,,,,,
b21e5265-c9b0-46d7-bd1d-c32030b1f232,attitude,In House Genetics Zurkle,,,,,,,,,Zurkle from In House Genetics is now available to buy! Shop over the phone or online at Attitude Seedbank UK. We offer the best promotion and fast delivery.,,,,,,,,Zurkle | Attitude Seedbank UK,,,,,False,html/8abb04171e975dc9.html,,2026-01-14T10:39:47.555528,,https://www.cannabis-seeds-bank.co.uk/in-house-genetics-zurkle/prod_8850,,,,,,,,,,,,,,in house genetics zurkle,,inhousegeneticszurkle,False,,,,,,,,,,,,,,,,
36edd2c5-a327-4eb8-9aa7-8617ce981de1,attitude,Genehtik,,,0.3,,,,,,Genehtik Seeds Zuri Widow is available at the Attitude Seedbank. Visit our website to check out the whole range of cannabis seeds. We ship worldwide.,,,,,,,,Cannabiogen Seeds,,,,,False,html/83919ea72466b74c.html,,2026-01-14T10:39:47.774417,,https://www.cannabis-seeds-bank.co.uk/genehtik-seeds-zuri-widow/prod_554,,,,,,,,,,,,,,genehtik,,genehtik,False,,,,,,,,,,,,,,,,
